серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
25-17;;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ДНЕЭ;31.03.2017;Т25-17
26-17;2017;Отработка технологии ВЧ модуляторов;;;;;ТТЭО;04.04.2017;
27-17;2017;Саяногорск-4;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;10.04.2017;
28-17;2017;Саяногорск-4;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;10.04.2017;
29-17;2017;Новокузнецк-1;Новокузнецкий алюминиевый завод;РУСАЛ;10;53.77046675224009, 87.23870784383003;ТТЭО-Г;04.05.2017;
30-17;2017;MAXWL17-2;;;;;ТТЭО;11.05.2017;
31-17;;Русгидро-2;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ДНЕЭ;25.05.2017;Т31-17
32-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т32-17
33-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т32-17
34-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т32-17
35-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т35-17
36-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т35-17
37-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;Т35-17
38-17;2017;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ТТЭО;25.05.2017;
39-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ДНЕЭ;25.05.2017;Т39-17
40-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ДНЕЭ;25.05.2017;Т39-17
41-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ДНЕЭ;25.05.2017;Т41-17
42-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ДНЕЭ;25.05.2017;Т41-17
43-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ДНЕЭ;25.05.2017;
44-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;21.06.2017;Т44-17
45-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;21.06.2017;Т44-17
46-17;2017;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ТТЭО;21.06.2017;Т44-17
47-17;2107;Транснефть;;Транснефть;110;49.971857, 82.634395;ДНЕЭ;21.06.2017;Т47-17
48-17;2107;Транснефть;;Транснефть;110;49.971857, 82.634395;ДНЕЭ;21.06.2017;Т47-17
49-17;2017;Транснефть;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ТТЭО;03.07.2017;Т49-17
50-17;2017;EDF18;;;;;ДНЕЭ;03.07.2017;Т16-16
51-17;2017;Тестовый ЭОБ-4;;;;;ТТЭО;13.07.2017;
52-17;2017;Terna18;Terna;Terna National Electricity Grid;10;45.10096374952365, 7.708535875231089;ТТЭО;07.08.2017;
53-17;2017;Саяногорск-5;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;28.08.2017;Т53-17
54-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т54-17
55-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т55-17
56-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т56-17
57-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т57-17
58-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т58-17
59-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т59-17
60-17;2017;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ТТЭО;04.09.2017;Т60-17
61-17;2017;Красноярск-5;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;09.07.2017;
62-17;2017;Красноярск-5;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;09.07.2017;
63-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПН;25.10.2017;Т39-17
64-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПН;25.10.2017;Т39-17
65-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПН;25.10.2017;Т41-17
66-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПН;25.10.2017;Т41-17
67-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т32-17
68-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т35-17
69-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т39-17
70-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т41-17
71-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т32-17
72-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;Т35-17
73-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;
74-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;БПР;30.10.2017;
75-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПТ;09.11.2017;Т32-17
76-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПТ;09.11.2017;Т35-17
77-17;;Тобол;ПС 500 кВ Тобол;Россети ФКС ЕЭС;500;58.286531, 68.448000;ЦАПТ;09.11.2017;
78-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т54-17
79-17;;ТГК-1-3;ПАО «ТГК-1»;ПАО «ТГК-1»;10;59.92357021699063, 30.246522220407506;ЦАПТ;09.11.2017;Т053-18
80-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т55-17
81-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т56-17
82-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т57-17
83-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т58-17
84-17;;Волхов-2;ПС 110/10 кВ Волхов;Россети Ленэнерго;110;59.90491428556395, 32.35625297210058;ЦАПТ;09.11.2017;Т59-17
85-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т85-17
86-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т85-17
87-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т87-17
88-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т87-17
89-17;2017;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ТТЭО;27.11.2017;Т89-17
