серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
015-21;2021;Трансэнерго_ПС Владимир_поставка;ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир);Трансэнерго;110;56.111779, 40.387906;ТТНК;25.12.2020;Т015-21
016-21;2021;Трансэнерго_ПС Владимир_поставка;ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир);Трансэнерго;110;56.111779, 40.387906;Модуль питания ВМ;25.12.2020;Т015-21
017-21;2021;Трансэнерго_ПС Владимир_поставка;ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир);Трансэнерго;110;56.111779, 40.387906;ТТЭО;25.12.2020;Т017-21
018-21;2021;Трансэнерго_ПС Владимир_поставка;ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир);Трансэнерго;110;56.111779, 40.387906;ТТЭО;25.12.2020;Т018-21
019-21;;Electrosul CGT (Brazil pilot project);138 kV Palhoça Substation;Eletrosul;138;-27.641318, -48.691138;ТТНК;05.02.2021;Т019-21
020-21;;Electrosul CGT (Brazil pilot project);138 kV Palhoça Substation;Eletrosul;138;-27.641318, -48.691138;ТТНК;05.02.2021;Т019-21
021-21;;Electrosul CGT (Brazil pilot project);138 kV Palhoça Substation;Eletrosul;138;-27.641318, -48.691138;Модуль питания ВМ;05.02.2021;Т019-21
022-21;;Electrosul CGT (Brazil pilot project);138 kV Palhoça Substation;Eletrosul;138;-27.641318, -48.691138;Модуль питания ВМ;05.02.2021;Т019-21
023-21;;Аттестация_РОССЕТИ;;;;;ДНЕЭ;17.02.2021;Т023-21
024-21;;Аттестация_РОССЕТИ;;;;;ДНЕЭ;17.02.2021;Т024-21
025-21;;Аттестация_РОССЕТИ;;;;;ДНЕЭ;17.02.2021;Т025-21
026-21;;Аттестация_РОССЕТИ;;;;;Модуль питания ВМ;17.02.2021;Т023-21
027-21;;Аттестация_РОССЕТИ;;;;;Модуль питания ВМ;17.02.2021;Т024-21
028-21;;Аттестация_РОССЕТИ;;;;;Модуль питания ВМ;17.02.2021;Т025-21
029-21;2021;РУСАЛ_Тайшет_поставка;Тайшетский алюминиевый завод;РуСАЛ;10;55.941850, 97.989726;ТТЭО-Г;03.03.2021;Т029-21
030-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т030-21
031-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т030-21
032-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т032-21
033-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т032-21
034-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т034-21
035-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т034-21
036-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т036-21
037-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ДНЕЭ;09.03.2021;Т037-21
038-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ДНЕЭ;09.03.2021;Т037-21
039-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ДНЕЭ;09.03.2021;Т039-21
040-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ДНЕЭ;09.03.2021;Т039-21
041-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;Модуль питания ВМ;09.03.2021;Т037-21
042-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;Модуль питания ВМ;09.03.2021;Т037-21
043-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;Модуль питания ВМ;09.03.2021;Т039-21
044-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;Модуль питания ВМ;09.03.2021;Т039-21
045-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;-
046-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ДНЕЭ;09.03.2021;-
047-21;;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;Модуль питания ВМ;09.03.2021;-
048-21;2021;РОССЕТИ_ПС Бенжереп-2_поставка;ПС 110/10 кВ Бенжереп-2;Россети Сибирь;110;53.270883, 86.929866;ТТЭО;09.03.2021;Т048-21
049-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т049-21
050-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т049-21
051-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т051-21
052-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т051-21
053-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т053-21
054-21;2021;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ТТЭО;22.03.2021;Т053-21
055-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;22.03.2021;Т055-21
056-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;22.03.2021;Т056-21
057-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;22.03.2021;Т057-21
058-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;22.03.2021;Т058-21
059-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;22.03.2021;Т059-21
060-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;22.03.2021;Т055-21
061-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;22.03.2021;Т056-21
062-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;22.03.2021;Т057-21
063-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;22.03.2021;Т058-21
064-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;22.03.2021;Т059-21
065-21;2021;Могилевэнерго;ПС 330 кВ Могилев;Могилевэнерго;330;53.856667, 30.509444;ТТЭО-Г;13.04.2021;Т065-21
066-21;2021;РУСАЛ_Кандалакша_поставка 2021;Кандалакшский алюминиевый завод;РУСАЛ;10;67.193392, 32.429756;ТТЭО-Г;09.06.2021;Т066-21
067-21;2021;МРСК_Центра_Доброград;ПС 110/10/10 кВ Доброград;Россети Центр и Приволжье;110;56.228066, 41.302431;ТТЭО-Г;02.07.2021;Т067-21
068-21;2021;МРСК_Центра_Доброград;ПС 110/10/10 кВ Доброград;Россети Центр и Приволжье;110;56.228066, 41.302431;ТТЭО-Г;02.07.2021;Т068-21
069-21;2021;МРСК_Центра_Доброград;ПС 110/10/10 кВ Доброград;Россети Центр и Приволжье;110;56.228066, 41.302431;ТТЭО-Г;02.07.2021;Т069-21
070-21;2021;МРСК_Центра_Доброград;ПС 110/10/10 кВ Доброград;Россети Центр и Приволжье;110;56.228066, 41.302431;ТТЭО-Г;02.07.2021;Т070-21
071-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;14.07.2021;Т055-21
072-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;14.07.2021;Т056-21
073-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;14.07.2021;Т057-21
074-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;14.07.2021;Т058-21
075-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;ДНЕЭ;14.07.2021;Т059-21
076-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;14.07.2021;Т055-21
077-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;14.07.2021;Т056-21
078-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;14.07.2021;Т057-21
079-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;14.07.2021;Т058-21
080-21;;ФСК ЕЭС_ПС Сомкинская_поставка;ПС 500/220/35/10 кВ Сомкино;Россети ФКС ЕЭС;220;61.351192, 72.965366;Модуль питания ВМ;14.07.2021;Т059-21
081-21;2021;МОЭСК Рублевка;ПС 110/10/6 кВ Рублево;Россети Московский регион;110;55.772963, 37.341358;ТТЭО-Г;12.08.2021;Т081-21
082-21;2021;МОЭСК Рублевка;ПС 110/10/6 кВ Рублево;Россети Московский регион;110;55.772963, 37.341358;ТТЭО-Г;12.08.2021;Т082-21
083-21;2021;ВЭИ_Стенд КЗ-2_поставка;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";10;55.75638, 37.70119;ТТЭО-Г;12.10.2021;Т083-21
084-21;2021;ВЭИ_Стенд КЗ-2_поставка;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";10;55.75638, 37.70119;ТТЭО-Г;12.10.2021;Т084-21
085-21;2021;Русвинил_хлор_поставка;Завод РусВинил;РусВинил;10;56.111279, 44.124061;ТТЭО-Г;19.10.2021;Т085-21
086-21;2021;ИЦЛС Россети;;;;;ТТЭО;12.11.2021;Т086-21
087-21;2021;ИЦЛС Россети;;;;;ТТЭО;12.11.2021;Т086-21
088-21;;ИЦЛС Россети;;;;;ДНЕЭ;12.11.2021;Т088-21
089-21;;ИЦЛС Россети;;;;;Модуль питания ВМ;12.11.2021;Т088-21
090-21;2021;ВСМПО_Салда_поставка;ВСМПО-АВИСМА;Корпорации ВСМПО-АВИСМА ;10;58.060599, 60.534718;ТТЭО-Г;25.11.2021;Т090-21
091-21;2021;ВСМПО_Салда_Сп2_поставка+ШМР;ВСМПО-АВИСМА;Корпорации ВСМПО-АВИСМА ;10;58.060599, 60.534718;ТТЭО-Г;03.12.2021;Т091-21
001-22;2022;ТТЭО-Г-Э 1.1 для ИЦ (ЧЦЗ_УГМК);;;;;ТТЭО;14.01.2022;Т001-22
